a	A|吖|呵|啊|嗄|腌|锕|阿	A|吖|呵|啊|嗄|腌|錒|阿
aazhi	AA制	AA制
aba	阿坝|阿巴|阿爸	阿壩|阿巴|阿爸
abafu	阿爸父	阿爸父
abagaqi	阿巴嘎旗	阿巴嘎旗
abalaqiya	阿巴拉契亚	阿巴拉契亞
abasi	阿巴斯	阿巴斯
abasiwangchao	阿拔斯王朝	阿拔斯王朝
abaxian	阿坝县	阿壩縣
abazangzuqiangzuzizhizhou	阿坝藏族羌族自治州	阿壩藏族羌族自治州
abazhou	阿坝州	阿壩州
abeier	阿贝尔	阿貝爾
abi	阿比|阿鼻	阿比|阿鼻
abian	阿扁	阿扁
abidiyu	阿鼻地狱	阿鼻地獄
abingge	阿兵哥	阿兵哥
abirang	阿比让	阿比讓
abixiniya	阿比西尼亚	阿比西尼亞
abixiniyaren	阿比西尼亚人	阿比西尼亞人
abiya	阿彼雅	阿彼雅
aboding	阿伯丁	阿伯丁
aboluo	阿波罗	阿波羅
aboluojihua	阿波罗计划	阿波羅計劃
abudabi	阿布达比	阿布達比
abudula	阿卜杜拉	阿卜杜拉
abuhazi	阿布哈兹	阿布哈茲
abujia	阿布贾	阿布賈
abulaitiabudurexiti	阿不来提·阿不都热西提	阿不來提·阿不都熱西提
abushayefu	阿布沙耶夫	阿布沙耶夫
abushuchun	阿布叔醇	阿布叔醇
abuzhabi	阿布扎比	阿布扎比
abzhi	AB制	AB制
acai	A菜	A菜
acg	ACG	ACG
achang	阿昌	阿昌
achangzu	阿昌族	阿昌族
acheng	阿城	阿城
achengqu	阿城区	阿城區
achufo	阿初佛|阿閦佛	阿初佛|阿閦佛
acihaimozheng	阿茨海默症	阿茨海默症
adabier	阿达比尔	阿達比爾
adan	阿丹	阿丹
adela	阿得拉	阿得拉
adelaer	阿得拉尔	阿得拉爾
adelaide	阿得莱德|阿德莱德	阿得萊德|阿德萊德
adeleide	阿德雷德	阿德雷德
adi	阿弟	阿弟
adidasi	阿迪达斯	阿迪達斯
adie	阿爹	阿爹
ading	吖啶	吖啶
adingding	吖丁啶	吖丁啶
adiping	阿的平	阿的平
adisenshibing	阿狄森氏病	阿狄森氏病
adisiabeiba	阿迪斯阿贝巴	阿迪斯阿貝巴
adou	阿斗	阿斗
aduonisi	阿多尼斯	阿多尼斯
aduonuo	阿多诺	阿多諾
aerbaniya	阿尔巴尼亚	阿爾巴尼亞
aerbaniyaren	阿尔巴尼亚人	阿爾巴尼亞人
aerbeisi	阿尔卑斯	阿爾卑斯
aerbota	阿尔伯塔	阿爾伯塔
aerbote	阿尔伯特	阿爾伯特
aercihaimo	阿尔茨海默	阿爾茨海默
aercihaimobing	阿尔茨海默病	阿爾茨海默病
aercihaimoshibing	阿尔茨海默氏病	阿爾茨海默氏病
aercihaimoshizheng	阿尔茨海默氏症	阿爾茨海默氏症
aercihaimozheng	阿尔茨海默症	阿爾茨海默症
aerdusai	阿尔都塞	阿爾都塞
aerfa	阿尔法	阿爾法
aerfalizi	阿尔法粒子	阿爾法粒子
aerfaluomiou	阿尔法·罗密欧	阿爾法·羅密歐
aerfanan	阿尔法男	阿爾法男
aergaida	阿尔盖达	阿爾蓋達
aergesi	阿耳戈斯	阿耳戈斯
aergunqin	阿尔衮琴	阿爾袞琴
aerhangeersikezhou	阿尔汉格尔斯克州	阿爾漢格爾斯克州
aerjiawei	阿尔加维	阿爾加維
aerjier	阿尔及尔	阿爾及爾
aerjiliya	阿尔及利亚	阿爾及利亞
aerjiliyaren	阿尔及利亚人	阿爾及利亞人
aerkantala	阿尔坎塔拉	阿爾坎塔拉
aerkate	阿尔卡特	阿爾卡特
aermeiliya	阿尔梅里亚	阿爾梅里亞
aersasi	阿尔萨斯	阿爾薩斯
aershan	阿尔山	阿爾山
aershanshi	阿尔山市	阿爾山市
aersitonggongsi	阿尔斯通公司	阿爾斯通公司
aertai	阿尔泰	阿爾泰
aertaishan	阿尔泰山	阿爾泰山
